,노선,편도운행
0,100,15.0
1,1000,37.5
2,101,18.367346938775512
3,102,28.125
4,103,29.032258064516128
5,104,20.0
6,108,33.333333333333336
7,109,450.0
8,119,13.235294117647058
9,12,180.0
10,121,150.0
11,131,180.0
12,142,150.0
13,165,14.0625
14,19,90.0
15,190,22.5
16,20,128.57142857142858
17,200,90.0
18,21,112.5
19,220,180.0
20,23,128.57142857142858
21,24,128.57142857142858
22,25,128.57142857142858
23,27,150.0
24,3-1,14.0625
25,3-2,14.0625
26,30,112.5
27,309,16.666666666666668
28,31,112.5
29,32,112.5
30,33,112.5
31,337,30.0
32,34,112.5
33,34-1,112.5
34,35,128.57142857142858
35,350,36.0
36,354,45.0
37,355,36.0
38,36,128.57142857142858
39,375,180.0
40,380,25.714285714285715
41,381,22.5
42,383,22.5
43,385,22.5
44,416,180.0
45,423,100.0
46,424,180.0
47,425,100.0
48,428,100.0
49,429,81.81818181818181
50,470,90.0
51,472,60.0
52,473,180.0
53,474,150.0
54,475,90.0
55,479,180.0
56,487,90.0
57,49,90.0
58,5-1,30.0
59,5-2,30.0
60,508,180.0
61,511,225.0
62,512,450.0
63,513,225.0
64,514,300.0
65,515,180.0
66,520,450.0
67,521,225.0
68,522,100.0
69,535,21.951219512195124
70,536,100.0
71,54,90.0
72,541,225.0
73,542,180.0
74,543,180.0
75,545,69.23076923076923
76,546,225.0
77,55,90.0
78,554,45.0
79,559,45.0
80,56,180.0
81,57,180.0
82,58,90.0
83,6,22.5
84,60,180.0
85,61,15.0
86,62,45.0
87,644,180.0
88,684,25.714285714285715
89,685,180.0
90,7-1,25.0
91,7-2,25.0
92,71,50.0
93,72,23.076923076923077
94,725,180.0
95,73,50.0
96,74,33.333333333333336
97,752,22.5
98,785,150.0
99,79,25.714285714285715
100,8-1,23.076923076923077
101,8-2,25.0
102,806,225.0
103,807,180.0
104,814,90.0
105,816,112.5
106,817,100.0
107,834,180.0
108,837,180.0
109,839,128.57142857142858
110,855,180.0
111,866,180.0
112,87,81.81818181818181
113,871,225.0
114,872,180.0
115,88,27.272727272727273
116,89,33.333333333333336
117,944,81.81818181818181
118,946,81.81818181818181
119,947,150.0
120,970,20.0
121,973,180.0
122,974,50.0
123,976,180.0
124,977,225.0
125,978,225.0
