노선,편도운행
978,4 
977,4 
976,5 
974,5 
974,5 
974,4 
974,4 
973,5 
970,5 
970,5 
970,5 
970,5 
970,5 
970,4 
970,4 
970,4 
970,4 
947,6 
946,6 
946,5 
944,6 
944,5 
89,6 
89,6 
89,5 
88,6 
88,6 
88,6 
88,5 
871,4 
87,6 
87,5 
866,5 
855,5 
839,5 
837,5 
834,5 
8-2,12 
8-2,12 
8-2,12 
817,5 
817,4 
839,2 
816,3 
816,5 
814,5 
814,5 
8-1,13 
8-1,13 
8-1,13 
807,5 
806,4 
79,5 
79,5 
79,5 
79,5 
79,5 
79,5 
79,5 
752,5 
752,5 
752,5 
752,5 
752,5 
752,5 
752,5 
752,5 
7-2,9 
7-2,9 
7-2,9 
7-2,9 
72,5 
72,5 
72,5 
72,5 
72,5 
72,5 
72,4 
72,5 
7-1,9 
7-1,9 
7-1,9 
7-1,9 
685,5 
684,5 
684,5 
684,5 
684,5 
684,5 
684,5 
644,5 
62,5 
61,5 
61,5 
6,8 
6,8 
6,8 
6,8 
520,2 
521,4 
5-2,10 
5-2,10 
5-2,10 
514,3 
512,2 
513,4 
5-1,10 
5-1,10 
5-1,10 
36,7 
34-1,8 
34,8 
33,8 
3-2,8 
3-2,8 
3-2,8 
3-2,8 
3-2,8 
3-2,8 
3-2,8 
3-2,8 
32,8 
3-1,8 
3-1,8 
3-1,8 
3-1,8 
3-1,8 
3-1,8 
3-1,8 
3-1,8 
31,8 
309,5 
309,5 
309,5 
309,5 
309,5 
309,5 
309,4 
309,4 
309,4 
309,4 
309,4 
309,4 
30,8 
27,6 
25,7 
24,7 
23,7 
21,8 
165,5 
165,5 
165,5 
165,5 
165,5 
165,5 
165,5 
165,4 
165,4 
165,4 
165,4 
165,4 
165,4 
165,5 
109,2 
142,6 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
119,4 
1000,6 
1000,6 
1000,6 
1000,6 
970,4 
872,5 
785,6 
725,5 
684,5 
559,4 
559,4 
559,4 
559,4 
559,4 
554,4 
554,4 
554,4 
554,4 
554,4 
546,4 
545,5 
545,4 
545,4 
543,5 
542,5 
541,4 
536,5 
536,4 
535,5 
535,5 
535,5 
535,5 
535,5 
535,4 
535,4 
535,4 
535,4 
522,5 
522,4 
515,5 
511,4 
508,5 
487,5 
487,5 
479,5 
475,5 
475,5 
474,6 
473,5 
472,5 
472,5 
472,5 
470,5 
470,5 
429,6 
429,5 
428,5 
428,4 
425,5 
425,4 
424,5 
423,5 
423,4 
416,5 
385,5 
385,5 
385,5 
385,5 
385,5 
385,5 
385,5 
385,5 
383,5 
383,5 
383,5 
383,5 
383,5 
383,5 
383,5 
383,5 
381,5 
381,5 
381,5 
381,5 
381,5 
381,5 
381,5 
381,5 
380,5 
380,5 
380,5 
380,5 
380,5 
380,5 
380,5 
375,5 
355,5 
355,5 
355,5 
355,5 
355,5 
354,5 
354,5 
354,5 
354,5 
350,5 
350,5 
350,5 
350,5 
350,5 
337,5 
337,5 
337,5 
337,5 
337,5 
337,5 
220,5 
200,5 
200,5 
190,5 
190,5 
190,5 
190,5 
190,5 
190,5 
190,5 
190,5 
131,5 
121,6 
108,6 
108,6 
108,5 
108,5 
108,5 
104,5 
104,5 
104,5 
104,5 
104,5 
104,4 
104,4 
104,4 
104,4 
104,4 
103,5 
103,5 
103,5 
103,4 
103,4 
103,4 
103,4 
102,5 
102,5 
102,5 
102,5 
102,4 
102,4 
102,4 
101,3 
101,3 
101,3 
101,3 
101,3 
101,3 
101,3 
101,4 
101,4 
101,4 
101,4 
101,4 
101,4 
101,4 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
100,5 
89,5 
89,5 
88,5 
88,5 
74,5 
74,5 
74,5 
74,4 
74,4 
74,4 
73,6 
73,6 
73,6 
71,6 
71,6 
71,6 
62,5 
62,5 
62,5 
61,5 
61,5 
61,5 
61,5 
61,5 
61,5 
61,5 
61,5 
61,5 
61,5 
60,5 
58,5 
58,5 
57,5 
56,5 
55,5 
55,5 
54,5 
54,5 
49,5 
49,5 
35,7 
20,7 
19,5 
19,5 
12,5 
6,8 
,
